ResguardoId;ResguardoCodigo;ResguardoNombre;Activo;FechaRegistro;FechaModifica
169;168;DOMINICO-LONDOÑO-PARTADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
170;169;DOMO PLANAS (SAN RAFAEL);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
171;170;DOXURA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
172;171;DRUA DO (PORTALES DEL RIO);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
173;172;EGUA-GUARIACANA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
174;173;EL CEDRITO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
175;174;EL CEDRO,LAS PEÑAS,LA BRAVA,PILVILA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
176;175;"EL CONSEJO ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
177;176;EL DESCANSE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
178;177;EL DESCANSO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
179;178;EL DIAMANTE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
180;179;EL DOCE-QUEBRADA BORBOLLON;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
181;180;"EL DUYA ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
182;181;EL GRAN SABALO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
183;182;EL GUAYABAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
184;183;EL HACHA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
185;184;EL ITILLA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
186;185;"EL MEDANO ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
187;186;EL PIÑAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
188;187;EL PORTAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
189;188;EL PROGRESO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
190;189;EL QUINCE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
191;190;EL REFUGIO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
192;191;EL ROSARIO-BELLAVISTA-YUCATAN;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
193;192;"EL SALADILLO ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
194;193;EL SALADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
195;194;EL SANDE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
196;195;"EL SUSPIRO ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
197;196;EL TABLERO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
198;197;EL TAMBO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
199;198;EL TIGRE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
200;199;EL TRIUNFO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
201;200;EL TRIUNFO-CRISTAL PAEZ;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
202;201;EL TURPIAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
203;202;EL UNUMA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
204;203;EL UNUMA (Parte);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
205;204;EL VEINTE PLAYA ALTA Y EL NOVENTA (amp);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
206;205;EL VEINTIUNO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
207;206;EL VENADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
208;207;EL VERGEL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
209;208;"EL VIGIA ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
210;209;EL VOLAO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
211;210;EL ZAHINO GUAYABITO MURIAYTUY;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
212;211;EL ZAMURO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
213;212;FLORES-SOMBRERO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
214;213;GABARRA_1;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
215;214;GABARRA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
216;215;GAITANIA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
217;216;GEGORA,QUIPARA,MURANDO,TIRAVENADO,JIGUADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
218;217;GENAREROS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
219;218;GETUCHA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
220;219;GIRO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
221;220;GITO DOCABU;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
222;221;GORGONIA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
223;222;GRAN ROSARIO -CALVI-LAS PEÑAS-OTROS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
224;223;GUACAMAYA MAMIYARE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
225;224;"GUACHAVEZ ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
226;225;GUACHICONO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
227;226;GUACHUCAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
228;227;GUACO BAJO-GUACO ALTO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
229;228;GUADUAL-CUMBAS-INVINA-ARRAYAN;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
230;229;GUADUALITO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
231;230;GUAGUANDO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
232;231;GUAIPA 1;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
233;232;GUAIPA CENTRO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
234;233;GUALCALA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
235;234;GUAMBIA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
236;235;GUAMBI-YASLAMBI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
237;236;GUARANDO CARRIZAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
238;237;GUASIMAL;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
239;238;"GUATAVITA TUA ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
240;239;GUAYABAL DE PARTADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
241;240;GUAYACAN-SANTA ROSA !;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
242;241;GUAYUYACO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
243;242;GUELNAMBI-CARANO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
244;243;HERICHA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
245;244;HERMEREGILDO CHAKIAMA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
246;245;HILARQUITO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
247;246;HONDURAS_1;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
248;247;HONDURAS_2;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
249;248;HUELLAS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
250;249;HUILA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
251;250;HURTADO-TEGAVERA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
252;251;IBIBI (IWIWI);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
253;252;IGUANA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
254;253;IMBA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
255;254;INFI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
256;255;INGA DE CONDAGUA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
257;256;INGA DE PUERTO LIMON;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
258;257;INGA-KAMSA DE MOCOA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
259;258;INTEGRADO DEL CHARCO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
260;259;"IPIALES ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
261;260;IROKA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
262;261;ISLA DE RONDA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
263;262;ISLA DEL MONO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
264;263;JACOME;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
265;264;JAGUAL RIO CHINTADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
266;265;JAIDEZAVE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
267;266;JAIKERAZAVI (ABIBE MUTATA);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
268;267;JAMBALO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
269;268;JEBALA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
270;269;JENATURADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
271;270;JENGADO-APARTADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
272;271;JERICO-CONSAYA-PEÑAS ALTAS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
273;272;JIRIJIRI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
274;273;JULIEROS Y VELAZQUEROS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
275;274;JURADO-CHOCO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
276;275;KAMENTZA-BIYA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
277;276;KAWANARUBA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
278;277;KILOMETRO 6 Y 11 LETICIA TARAPACA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
279;278;KOGUI-MALAYO-ARHUACO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
280;279;KWES KIWE NASA (LA CRISTALINA);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
281;280;KWET WALA (PIEDRA GRANDE);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
282;281;LA AGUADA-SAN ANTONIO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
283;282;LA AGUADITA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
